fid,id,left,top,right,bottom,row_index,col_index,sci_name_count,sci_name_unique,sci_name_empty,sci_name_filled,sci_name_min,sci_name_max,sci_name_min_length,sci_name_max_length,sci_name_mean_length
230,230,541333.3689,158306.674,543333.3689,156306.674,13,6,,,,,,,,,
231,231,541333.3689,156306.674,543333.3689,154306.674,14,6,10,9,0,10,Abax parallelepipedus,Rutpela maculata,15,25,18.8
232,232,541333.3689,154306.674,543333.3689,152306.674,15,6,,,,,,,,,
233,233,541333.3689,152306.674,543333.3689,150306.674,16,6,,,,,,,,,
234,234,541333.3689,150306.674,543333.3689,148306.674,17,6,2,2,0,2,Amara plebeja,Phymatodes testaceus,13,20,16.5
235,235,541333.3689,148306.674,543333.3689,146306.674,18,6,2,2,0,2,Coccinella septempunctata,Oedemera nobilis,16,25,20.5
236,236,541333.3689,146306.674,543333.3689,144306.674,19,6,,,,,,,,,
237,237,541333.3689,144306.674,543333.3689,142306.674,20,6,,,,,,,,,
238,238,541333.3689,142306.674,543333.3689,140306.674,21,6,,,,,,,,,
265,265,543333.3689,160306.674,545333.3689,158306.674,12,7,,,,,,,,,
266,266,543333.3689,158306.674,545333.3689,156306.674,13,7,,,,,,,,,
267,267,543333.3689,156306.674,545333.3689,154306.674,14,7,61,51,0,61,Abax parallelepipedus,Tytthaspis sedecimpunctata,10,26,17.5573770491803
268,268,543333.3689,154306.674,545333.3689,152306.674,15,7,76,74,0,76,Abax parallelepipedus,Trechus obtusus,11,30,19.2894736842105
269,269,543333.3689,152306.674,545333.3689,150306.674,16,7,19,19,0,19,Acrossus rufipes,Strophosoma melanogrammum,11,28,18.6842105263158
270,270,543333.3689,150306.674,545333.3689,148306.674,17,7,2,2,0,2,Anaglyptus mysticus,Hermaeophaga mercurialis,19,24,21.5
271,271,543333.3689,148306.674,545333.3689,146306.674,18,7,42,39,0,42,Adalia bipunctata,Tytthaspis sedecimpunctata,11,26,18.0952380952381
272,272,543333.3689,146306.674,545333.3689,144306.674,19,7,47,37,0,47,Abax parallelepipedus,Tytthaspis sedecimpunctata,11,37,19.9574468085106
273,273,543333.3689,144306.674,545333.3689,142306.674,20,7,117,101,0,117,Acupalpus dubius,Xantholinus linearis,11,37,19.0598290598291
274,274,543333.3689,142306.674,545333.3689,140306.674,21,7,28,28,0,28,Adalia decempunctata,Tachyporus solutus,15,37,19.8214285714286
275,275,543333.3689,140306.674,545333.3689,138306.674,22,7,1,1,0,1,Lythraria salicariae,Lythraria salicariae,20,20,20
300,300,545333.3689,162306.674,547333.3689,160306.674,11,8,,,,,,,,,
301,301,545333.3689,160306.674,547333.3689,158306.674,12,8,16,16,0,16,Anotylus tetracarinatus,Tasgius morsitans,16,25,20.3125
302,302,545333.3689,158306.674,547333.3689,156306.674,13,8,4,4,0,4,Coccinella septempunctata,Rhagonycha fulva,16,25,20.25
303,303,545333.3689,156306.674,547333.3689,154306.674,14,8,10,8,0,10,Elmis aenea,Rutpela maculata,11,22,15.4
304,304,545333.3689,154306.674,547333.3689,152306.674,15,8,33,31,0,33,Abax parallelepipedus,Tytthaspis sedecimpunctata,10,26,18.6060606060606
305,305,545333.3689,152306.674,547333.3689,150306.674,16,8,36,36,0,36,Abax parallelepipedus,Xantholinus linearis,16,30,19.8055555555556
306,306,545333.3689,150306.674,547333.3689,148306.674,17,8,16,16,0,16,Abax parallelepipedus,Sphaeridium lunatum,11,28,19.125
307,307,545333.3689,148306.674,547333.3689,146306.674,18,8,7,6,0,7,Aphodius fimetarius/pedellus,Rutpela maculata,15,28,19.8571428571429
308,308,545333.3689,146306.674,547333.3689,144306.674,19,8,20,18,0,20,Alosterna tabacicolor,Rutpela maculata,11,37,19.6
309,309,545333.3689,144306.674,547333.3689,142306.674,20,8,192,154,0,192,Abax parallelepipedus,Xantholinus longiventris,10,44,19.2083333333333
310,310,545333.3689,142306.674,547333.3689,140306.674,21,8,7,7,0,7,Agonum emarginatum,Tachyporus hypnorum,16,20,18.4285714285714
311,311,545333.3689,140306.674,547333.3689,138306.674,22,8,,,,,,,,,
335,335,547333.3689,164306.674,549333.3689,162306.674,10,9,26,26,0,26,Amischa analis,Tachyporus hypnorum,14,29,19.3461538461538
336,336,547333.3689,162306.674,549333.3689,160306.674,11,9,45,14,0,45,Adalia bipunctata,Scaphidium quadrimaculatum,12,30,23.1555555555556
337,337,547333.3689,160306.674,549333.3689,158306.674,12,9,46,34,0,46,Ablattaria laevigata,Tytthaspis sedecimpunctata,11,30,18.9130434782609
338,338,547333.3689,158306.674,549333.3689,156306.674,13,9,13,9,0,13,Adalia bipunctata,Scaphidium quadrimaculatum,11,26,19.2307692307692
339,339,547333.3689,156306.674,549333.3689,154306.674,14,9,47,44,0,47,Adalia decempunctata,Tytthaspis sedecimpunctata,12,33,19.6595744680851
340,340,547333.3689,154306.674,549333.3689,152306.674,15,9,11,11,0,11,Amara fulva,Staphylinus erythropterus,11,25,18.5454545454545
341,341,547333.3689,152306.674,549333.3689,150306.674,16,9,44,42,0,44,Adalia bipunctata,Vincenzellus ruficollis,12,30,19.0454545454545
342,342,547333.3689,150306.674,549333.3689,148306.674,17,9,1,1,0,1,Malachius bipustulatus,Malachius bipustulatus,22,22,22
343,343,547333.3689,148306.674,549333.3689,146306.674,18,9,18,18,0,18,Agabus bipustulatus,Tychius pusillus,14,23,18.6111111111111
344,344,547333.3689,146306.674,549333.3689,144306.674,19,9,23,15,0,23,Adalia bipunctata,Subcoccinella vigintiquattuorpunctata,16,37,21.5652173913043
345,345,547333.3689,144306.674,549333.3689,142306.674,20,9,9,8,0,9,Cartodere nodifer,Rhagonycha fulva,14,20,17.6666666666667
346,346,547333.3689,142306.674,549333.3689,140306.674,21,9,20,19,0,20,Amara aenea,Siagonium quadricorne,11,24,17.85
366,366,549333.3689,174306.674,551333.3689,172306.674,5,10,69,39,0,69,Abax parallelepipedus,Tachyporus hypnorum,12,31,20.304347826087
367,367,549333.3689,172306.674,551333.3689,170306.674,6,10,102,17,0,102,Anisosticta novemdecimpunctata,Xantholinus linearis,13,43,16.4411764705882
368,368,549333.3689,170306.674,551333.3689,168306.674,7,10,2,2,0,2,Lucanus cervus,Pyrrhalta viburni,14,17,15.5
369,369,549333.3689,168306.674,551333.3689,166306.674,8,10,10,2,0,10,Lucanus cervus,Metoecus paradoxus,14,18,14.4
370,370,549333.3689,166306.674,551333.3689,164306.674,9,10,321,316,0,321,Abraeus perpusillus,Xylodromus concinnus,10,33,18.5482866043614
371,371,549333.3689,164306.674,551333.3689,162306.674,10,10,83,80,0,83,Abax parallelepipedus,Tytthaspis sedecimpunctata,13,29,20.3614457831325
372,372,549333.3689,162306.674,551333.3689,160306.674,11,10,332,247,0,332,Abax parallelepipedus,Vincenzellus ruficollis,10,37,19.0331325301205
373,373,549333.3689,160306.674,551333.3689,158306.674,12,10,45,41,0,45,Adalia bipunctata,Xantholinus longiventris,12,29,19.7333333333333
374,374,549333.3689,158306.674,551333.3689,156306.674,13,10,159,120,0,159,Abax parallelepipedus,Tytthaspis sedecimpunctata,11,43,19.6289308176101
375,375,549333.3689,156306.674,551333.3689,154306.674,14,10,117,74,0,117,Abax parallelepipedus,Tytthaspis sedecimpunctata,11,37,19.6923076923077
376,376,549333.3689,154306.674,551333.3689,152306.674,15,10,161,126,0,161,Abax parallelepipedus,Xantholinus linearis,12,39,19.7453416149068
